DATE,MSPUS_GDPDEF
2009-10-01,2298.9953705161717003
2010-01-01,2334.0558539879998743
2010-04-01,2287.8167245135132318
2010-07-01,2328.9892124462181206
2010-10-01,2318.0347860235833945
2011-01-01,2332.3705066661184380
2011-04-01,2329.4050366618328874
2011-07-01,2267.8152872058689233
2011-10-01,2240.0534938147776663
2012-01-01,2400.3221908981071285
2012-04-01,2393.8704080711642414
2012-07-01,2482.4145672237465702
2012-10-01,2498.5854254146937074
2013-01-01,2554.8996925023976903
2013-04-01,2643.1761493034673818
2013-07-01,2598.1671539865381974
2013-10-01,2668.8256581835207819
2014-01-01,2673.4798954700447847
2014-04-01,2782.2861117551588222
2014-07-01,2703.0406802812701405
2014-10-01,2870.6433737022559857
2015-01-01,2778.3648765491401672
2015-04-01,2761.8820157630761882
2015-07-01,2815.8556088645190770
2015-10-01,2879.6085636226903635
2016-01-01,2856.8433691312261175
2016-04-01,2896.1640023850762373
2016-07-01,2864.8755693445111889
2016-10-01,2917.8515452694015073
2017-01-01,2924.5829363522576547
2017-04-01,2962.4526352049603858
2017-07-01,2968.3346762616580071
2017-10-01,3108.1839338441584723
2018-01-01,3034.1548168808010608
2018-04-01,2861.7803610776108305
2018-07-01,2987.3518286132151272
2018-10-01,2901.4165528151290717
2019-01-01,2807.8548168614821526
2019-04-01,2874.6389988234035726
2019-07-01,2759.5327700063906838
