DATE,CPALTT01USM661S_MSPUS
1963-01-01,1382.7933792199272186
1963-04-01,1393.7621692257411412
1963-07-01,1381.0560872395861493
1963-10-01,1419.9528821243485854
1964-01-01,1417.1992566257291494
1964-04-01,1444.5731376975201019
1964-07-01,1441.3195945945989503
1964-10-01,1471.4015360000041881
1965-01-01,1529.1419354838697787
1965-04-01,1484.6366972477120691
1965-07-01,1514.1503478810889891
1965-10-01,1510.6578021977976480
1966-01-01,1546.7237414543190690
1966-04-01,1617.6886040765870100
1966-07-01,1555.9894656488597510
1966-10-01,1540.7544957472705845
1967-01-01,1601.6603333333344871
1967-04-01,1658.4072372372338176
1967-07-01,1587.1674107142893003
1967-10-01,1596.3792058823507188
1968-01-01,1651.5178717201213005
1968-04-01,1700.7848126801139995
1968-07-01,1674.6500284900326776
1968-10-01,1704.3919101123563769
1969-01-01,1687.3509418282556267
1969-04-01,1677.2514480874362594
1969-07-01,1654.6469811320730439
1969-10-01,1565.4438461538460587
1970-01-01,1479.0355874673648495
1970-04-01,1490.5192783505114608
1970-07-01,1390.6609693877554413
1970-10-01,1345.8754271356804787
1971-01-01,1439.8782750000000030
1971-04-01,1509.8860740740771699
1971-07-01,1469.7377696078427988
1971-10-01,1470.5434306569306631
1972-01-01,1499.9626570048324667
1972-04-01,1523.2747242206216862
1972-07-01,1570.7302375296936023
1972-10-01,1628.4462117647036154
1973-01-01,1649.2888018433141928
1973-04-01,1753.4968099547562125
1973-07-01,1756.6525442477898251
1973-10-01,1740.5136069114453950
1974-01-01,1745.3971548117142732
1974-04-01,1722.0010612244922984
1974-07-01,1695.6552173913060988
1974-10-01,1698.8501734104087398
1975-01-01,1710.2931250000027675
1975-04-01,1727.7874766355174668
1975-07-01,1684.2966300366301864
1975-10-01,1756.3130215827317203
1976-01-01,1811.4870714285729658
1976-04-01,1847.6457495590851361
1976-07-01,1827.0060416666675727
1976-10-01,1846.6221746575348500
1977-01-01,1841.2562248322185766
1977-04-01,1915.7241818181844490
1977-07-01,1886.8563784665601775
1977-10-01,1963.0942536115570612
1978-01-01,1981.3723974763375871
1978-04-01,2016.4677076923113730
1978-07-01,1999.4967969924851268
1978-10-01,2059.4997054491880486
1979-01-01,2054.8254935622326697
1979-04-01,2071.4366620498624522
1979-07-01,2061.1559005376362515
1979-10-01,1929.4231729518857481
1980-01-01,1884.8917478152302402
1980-04-01,1838.6773333333320166
1980-07-01,1833.4211323003572098
1980-10-01,1821.5195370370354419
1981-01-01,1786.9904740406311974
1981-04-01,1817.5668287292834378
1981-07-01,1761.7160472610095362
1981-10-01,1773.2196386822514523
1982-01-01,1661.8721013727556178
1982-04-01,1700.6580618556696911
1982-07-01,1681.1953019447287243
1982-10-01,1736.9925486182189994
1983-01-01,1770.9832925586156743
1983-04-01,1785.9731690140835739
1983-07-01,1827.2027689243048632
1983-10-01,1774.1213313609474957
1984-01-01,1801.2370651117599473
1984-04-01,1844.4813789778214413
1984-07-01,1833.6558739255009799
1984-10-01,1795.0387014218003467
1985-01-01,1837.5475280898882968
1985-04-01,1858.6542418604661447
1985-07-01,1824.2196484736374064
1985-10-01,1878.8196894977154756
1986-01-01,1911.7778185151244498
1986-04-01,1995.3624954296151409
1986-07-01,2003.8710000000000042
1986-10-01,2032.1854693140792528
1987-01-01,2068.0895098039221846
1987-04-01,2159.2561938326011526
1987-07-01,2190.3925021795984605
1987-10-01,2286.1068771626284502
1988-01-01,2237.9287553648093758
1988-04-01,2209.4805084745789386
1988-07-01,2280.9167364016720616
1988-10-01,2236.6392957746482873
1989-01-01,2288.7075286415718210
1989-04-01,2270.8558662369042947
1989-07-01,2279.0096153846143506
1989-10-01,2342.0207125890728041
1990-01-01,2283.5463685847581897
1990-04-01,2313.6070515781375821
1990-07-01,2092.9048301886783137
1990-10-01,2145.8692622950840183
1991-01-01,2109.9436201780406571
1991-04-01,2089.5836985294124974
1991-07-01,2076.0613138686127839
1991-10-01,2058.0347322720706689
1992-01-01,2036.1992451473765826
1992-04-01,2030.1241970021408854
1992-07-01,2015.7363571934817358
1992-10-01,2098.6747716092762165
1993-01-01,2067.4895324494058515
1993-04-01,2086.0124047124061216
1993-07-01,2075.9420000000017010
1993-10-01,2057.4954887218038823
1994-01-01,2094.6437797416715599
1994-04-01,2083.3137254901951814
1994-07-01,2059.0157334226386921
1994-10-01,2084.3600266489003093
1995-01-01,2037.8445767195781294
1995-04-01,2082.4525131233591958
1995-07-01,2043.5169170476811635
1995-10-01,2125.2986354775826213
1996-01-01,2088.1883601286168903
1996-04-01,2116.0611550733895733
1996-07-01,2104.1458465440709937
1996-10-01,2146.7095977372727041
1997-01-01,2150.6548811013775548
1997-04-01,2157.1210112359542309
1997-07-01,2131.9767369727060984
1997-10-01,2112.3517552533982107
1998-01-01,2226.7893456790136535
